Iter     SteadyRMS     UnsteadyRMS
     1   0.712876       0.926852E-06
     2   0.711470       0.185005E-05
     3   0.710066       0.276960E-05
     4   0.708664       0.368551E-05
     5   0.707266       0.459780E-05
     6   0.705870       0.550648E-05
     7   0.704478       0.641155E-05
     8   0.703087       0.731303E-05
     9   0.701700       0.821093E-05
    10   0.700315       0.910526E-05
    11   0.698934       0.999603E-05
    12   0.697554       0.108832E-04
    13   0.696178       0.117669E-04
    14   0.694804       0.126471E-04
    15   0.693433       0.135237E-04
    16   0.692065       0.143968E-04
    17   0.690699       0.152665E-04
    18   0.689336       0.161326E-04
    19   0.687976       0.169953E-04
    20   0.686618       0.178545E-04
    21   0.685263       0.187102E-04
    22   0.683911       0.195625E-04
    23   0.682562       0.204114E-04
    24   0.681215       0.212568E-04
    25   0.679871       0.220988E-04
    26   0.678529       0.229374E-04
    27   0.677190       0.237727E-04
    28   0.675854       0.246045E-04
    29   0.674520       0.254330E-04
    30   0.673189       0.262581E-04
    31   0.671861       0.270798E-04
    32   0.670535       0.278982E-04
    33   0.669212       0.287133E-04
    34   0.667891       0.295250E-04
    35   0.666573       0.303334E-04
    36   0.665258       0.311386E-04
    37   0.663945       0.319404E-04
    38   0.662635       0.327389E-04
    39   0.661328       0.335342E-04
    40   0.660023       0.343262E-04
    41   0.658720       0.351150E-04
    42   0.657420       0.359005E-04
    43   0.656123       0.366827E-04
    44   0.654828       0.374618E-04
    45   0.653536       0.382376E-04
    46   0.652247       0.390102E-04
    47   0.650960       0.397796E-04
    48   0.649675       0.405459E-04
    49   0.648393       0.413089E-04
    50   0.647114       0.420688E-04
    51   0.645837       0.428256E-04
    52   0.644562       0.435791E-04
    53   0.643290       0.443296E-04
    54   0.642021       0.450769E-04
    55   0.640754       0.458211E-04
    56   0.639490       0.465622E-04
    57   0.638228       0.473001E-04
    58   0.636969       0.480350E-04
    59   0.635712       0.487668E-04
    60   0.634457       0.494956E-04
    61   0.633205       0.502212E-04
    62   0.631956       0.509438E-04
    63   0.630709       0.516634E-04
    64   0.629464       0.523799E-04
    65   0.628222       0.530934E-04
    66   0.626982       0.538039E-04
    67   0.625745       0.545114E-04
    68   0.624510       0.552158E-04
    69   0.623278       0.559173E-04
    70   0.622048       0.566158E-04
    71   0.620821       0.573113E-04
    72   0.619596       0.580039E-04
    73   0.618373       0.586935E-04
    74   0.617153       0.593801E-04
    75   0.615935       0.600638E-04
    76   0.614720       0.607446E-04
    77   0.613507       0.614225E-04
    78   0.612296       0.620975E-04
    79   0.611088       0.627695E-04
    80   0.609882       0.634387E-04
    81   0.608678       0.641049E-04
    82   0.607477       0.647684E-04
    83   0.606279       0.654289E-04
    84   0.605082       0.660866E-04
    85   0.603888       0.667414E-04
    86   0.602697       0.673934E-04
    87   0.601507       0.680425E-04
    88   0.600320       0.686889E-04
    89   0.599136       0.693324E-04
    90   0.597954       0.699731E-04
    91   0.596774       0.706110E-04
    92   0.595596       0.712461E-04
    93   0.594421       0.718785E-04
    94   0.593248       0.725081E-04
    95   0.592077       0.731349E-04
    96   0.590909       0.737589E-04
    97   0.589743       0.743802E-04
    98   0.588579       0.749988E-04
    99   0.587418       0.756146E-04
   100   0.586259       0.762278E-04
   101   0.585102       0.768382E-04
   102   0.583947       0.774459E-04
   103   0.582795       0.780509E-04
   104   0.581645       0.786532E-04
   105   0.580497       0.792528E-04
   106   0.579352       0.798498E-04
   107   0.578208       0.804441E-04
   108   0.577067       0.810357E-04
   109   0.575929       0.816247E-04
   110   0.574792       0.822111E-04
   111   0.573658       0.827948E-04
   112   0.572526       0.833759E-04
   113   0.571396       0.839544E-04
   114   0.570269       0.845303E-04
   115   0.569144       0.851036E-04
   116   0.568020       0.856743E-04
   117   0.566900       0.862424E-04
   118   0.565781       0.868079E-04
   119   0.564664       0.873709E-04
   120   0.563550       0.879313E-04
   121   0.562438       0.884892E-04
   122   0.561328       0.890445E-04
   123   0.560221       0.895973E-04
   124   0.559115       0.901475E-04
   125   0.558012       0.906953E-04
   126   0.556911       0.912405E-04
   127   0.555812       0.917832E-04
   128   0.554715       0.923234E-04
   129   0.553621       0.928612E-04
   130   0.552528       0.933964E-04
   131   0.551438       0.939292E-04
   132   0.550350       0.944595E-04
   133   0.549264       0.949874E-04
   134   0.548180       0.955128E-04
   135   0.547098       0.960357E-04
   136   0.546019       0.965563E-04
   137   0.544941       0.970744E-04
   138   0.543866       0.975901E-04
   139   0.542793       0.981033E-04
   140   0.541722       0.986142E-04
   141   0.540653       0.991227E-04
   142   0.539586       0.996287E-04
   143   0.538521       0.100132E-03
   144   0.537458       0.100634E-03
   145   0.536398       0.101133E-03
   146   0.535339       0.101629E-03
   147   0.534283       0.102124E-03
   148   0.533229       0.102615E-03
   149   0.532176       0.103105E-03
   150   0.531126       0.103592E-03
   151   0.530078       0.104077E-03
   152   0.529032       0.104560E-03
   153   0.527988       0.105040E-03
   154   0.526946       0.105518E-03
   155   0.525907       0.105994E-03
   156   0.524869       0.106467E-03
   157   0.523833       0.106938E-03
   158   0.522800       0.107407E-03
   159   0.521768       0.107874E-03
   160   0.520738       0.108338E-03
   161   0.519711       0.108800E-03
   162   0.518685       0.109260E-03
   163   0.517662       0.109717E-03
   164   0.516640       0.110173E-03
   165   0.515621       0.110626E-03
   166   0.514603       0.111077E-03
   167   0.513588       0.111525E-03
   168   0.512574       0.111972E-03
   169   0.511563       0.112416E-03
   170   0.510554       0.112858E-03
   171   0.509546       0.113298E-03
   172   0.508541       0.113736E-03
   173   0.507537       0.114172E-03
   174   0.506536       0.114605E-03
   175   0.505536       0.115036E-03
   176   0.504538       0.115466E-03
   177   0.503543       0.115893E-03
   178   0.502549       0.116317E-03
   179   0.501558       0.116740E-03
   180   0.500568       0.117161E-03
   181   0.499580       0.117579E-03
   182   0.498594       0.117996E-03
   183   0.497610       0.118410E-03
   184   0.496629       0.118822E-03
   185   0.495649       0.119232E-03
   186   0.494671       0.119640E-03
   187   0.493694       0.120046E-03
   188   0.492720       0.120450E-03
   189   0.491748       0.120852E-03
   190   0.490778       0.121252E-03
   191   0.489809       0.121649E-03
   192   0.488843       0.122045E-03
   193   0.487878       0.122439E-03
   194   0.486915       0.122830E-03
   195   0.485954       0.123220E-03
   196   0.484996       0.123608E-03
   197   0.484039       0.123993E-03
   198   0.483083       0.124377E-03
   199   0.482130       0.124758E-03
   200   0.481179       0.125138E-03
   201   0.480229       0.125515E-03
   202   0.479282       0.125891E-03
   203   0.478336       0.126265E-03
   204   0.477392       0.126636E-03
   205   0.476450       0.127006E-03
   206   0.475510       0.127374E-03
   207   0.474571       0.127740E-03
   208   0.473635       0.128104E-03
   209   0.472700       0.128466E-03
   210   0.471768       0.128826E-03
   211   0.470837       0.129184E-03
   212   0.469908       0.129540E-03
   213   0.468980       0.129894E-03
   214   0.468055       0.130247E-03
   215   0.467131       0.130597E-03
   216   0.466210       0.130946E-03
   217   0.465290       0.131293E-03
   218   0.464371       0.131637E-03
   219   0.463455       0.131980E-03
   220   0.462541       0.132322E-03
   221   0.461628       0.132661E-03
   222   0.460717       0.132998E-03
   223   0.459808       0.133334E-03
   224   0.458901       0.133667E-03
   225   0.457995       0.133999E-03
   226   0.457091       0.134329E-03
   227   0.456189       0.134658E-03
   228   0.455289       0.134984E-03
   229   0.454391       0.135309E-03
   230   0.453494       0.135631E-03
   231   0.452599       0.135952E-03
   232   0.451706       0.136272E-03
   233   0.450815       0.136589E-03
   234   0.449925       0.136905E-03
   235   0.449037       0.137218E-03
   236   0.448151       0.137531E-03
   237   0.447267       0.137841E-03
   238   0.446384       0.138149E-03
   239   0.445504       0.138456E-03
   240   0.444624       0.138761E-03
   241   0.443747       0.139065E-03
   242   0.442871       0.139366E-03
   243   0.441998       0.139666E-03
   244   0.441125       0.139964E-03
   245   0.440255       0.140260E-03
   246   0.439386       0.140555E-03
   247   0.438519       0.140848E-03
   248   0.437654       0.141139E-03
   249   0.436790       0.141429E-03
   250   0.435928       0.141717E-03
   251   0.435068       0.142003E-03
   252   0.434210       0.142288E-03
   253   0.433353       0.142570E-03
   254   0.432498       0.142852E-03
   255   0.431644       0.143131E-03
   256   0.430792       0.143409E-03
   257   0.429942       0.143685E-03
   258   0.429094       0.143960E-03
   259   0.428247       0.144233E-03
   260   0.427402       0.144504E-03
   261   0.426559       0.144773E-03
   262   0.425717       0.145041E-03
   263   0.424877       0.145308E-03
   264   0.424039       0.145573E-03
   265   0.423202       0.145836E-03
   266   0.422367       0.146097E-03
   267   0.421533       0.146357E-03
   268   0.420702       0.146616E-03
   269   0.419871       0.146872E-03
   270   0.419043       0.147128E-03
   271   0.418216       0.147381E-03
   272   0.417391       0.147633E-03
   273   0.416567       0.147884E-03
   274   0.415745       0.148133E-03
   275   0.414925       0.148380E-03
   276   0.414106       0.148626E-03
   277   0.413289       0.148870E-03
   278   0.412473       0.149113E-03
   279   0.411659       0.149354E-03
   280   0.410847       0.149594E-03
   281   0.410036       0.149832E-03
   282   0.409227       0.150068E-03
   283   0.408420       0.150303E-03
   284   0.407614       0.150537E-03
   285   0.406810       0.150769E-03
   286   0.406007       0.151000E-03
   287   0.405206       0.151229E-03
   288   0.404406       0.151456E-03
   289   0.403608       0.151682E-03
   290   0.402812       0.151907E-03
   291   0.402017       0.152130E-03
   292   0.401223       0.152352E-03
   293   0.400432       0.152572E-03
   294   0.399642       0.152791E-03
   295   0.398853       0.153008E-03
   296   0.398066       0.153224E-03
   297   0.397280       0.153438E-03
   298   0.396496       0.153651E-03
   299   0.395714       0.153863E-03
   300   0.394933       0.154073E-03
   301   0.394154       0.154281E-03
   302   0.393376       0.154488E-03
   303   0.392600       0.154694E-03
   304   0.391825       0.154899E-03
   305   0.391052       0.155102E-03
   306   0.390280       0.155303E-03
   307   0.389510       0.155503E-03
   308   0.388742       0.155702E-03
   309   0.387975       0.155899E-03
   310   0.387209       0.156095E-03
   311   0.386445       0.156290E-03
   312   0.385682       0.156483E-03
   313   0.384921       0.156675E-03
   314   0.384162       0.156866E-03
   315   0.383404       0.157055E-03
   316   0.382647       0.157243E-03
   317   0.381892       0.157429E-03
   318   0.381138       0.157614E-03
   319   0.380386       0.157798E-03
   320   0.379636       0.157980E-03
   321   0.378887       0.158161E-03
   322   0.378139       0.158341E-03
   323   0.377393       0.158520E-03
   324   0.376648       0.158697E-03
   325   0.375905       0.158873E-03
   326   0.375163       0.159047E-03
   327   0.374423       0.159220E-03
   328   0.373684       0.159392E-03
   329   0.372947       0.159563E-03
   330   0.372211       0.159732E-03
   331   0.371476       0.159900E-03
   332   0.370743       0.160067E-03
   333   0.370012       0.160232E-03
   334   0.369281       0.160396E-03
   335   0.368553       0.160559E-03
   336   0.367826       0.160721E-03
   337   0.367100       0.160881E-03
   338   0.366375       0.161040E-03
   339   0.365652       0.161198E-03
   340   0.364931       0.161355E-03
   341   0.364211       0.161510E-03
   342   0.363492       0.161664E-03
   343   0.362775       0.161817E-03
   344   0.362059       0.161969E-03
   345   0.361344       0.162119E-03
   346   0.360631       0.162268E-03
   347   0.359920       0.162416E-03
   348   0.359210       0.162563E-03
   349   0.358501       0.162708E-03
   350   0.357793       0.162853E-03
   351   0.357087       0.162996E-03
   352   0.356383       0.163138E-03
   353   0.355679       0.163278E-03
   354   0.354978       0.163418E-03
   355   0.354277       0.163556E-03
   356   0.353578       0.163694E-03
   357   0.352880       0.163830E-03
   358   0.352184       0.163964E-03
   359   0.351489       0.164098E-03
   360   0.350796       0.164231E-03
   361   0.350103       0.164362E-03
   362   0.349412       0.164492E-03
   363   0.348723       0.164621E-03
   364   0.348035       0.164749E-03
   365   0.347348       0.164876E-03
   366   0.346663       0.165001E-03
   367   0.345979       0.165126E-03
   368   0.345296       0.165249E-03
   369   0.344615       0.165371E-03
   370   0.343935       0.165492E-03
   371   0.343256       0.165612E-03
   372   0.342578       0.165731E-03
   373   0.341902       0.165849E-03
   374   0.341228       0.165965E-03
   375   0.340554       0.166081E-03
   376   0.339882       0.166195E-03
   377   0.339212       0.166309E-03
   378   0.338542       0.166421E-03
   379   0.337874       0.166532E-03
   380   0.337208       0.166642E-03
   381   0.336542       0.166751E-03
   382   0.335878       0.166859E-03
   383   0.335215       0.166965E-03
   384   0.334554       0.167071E-03
   385   0.333894       0.167176E-03
   386   0.333235       0.167279E-03
   387   0.332577       0.167382E-03
   388   0.331921       0.167483E-03
   389   0.331266       0.167584E-03
   390   0.330612       0.167683E-03
   391   0.329960       0.167782E-03
   392   0.329309       0.167879E-03
   393   0.328659       0.167975E-03
   394   0.328011       0.168070E-03
   395   0.327363       0.168165E-03
   396   0.326717       0.168258E-03
   397   0.326073       0.168350E-03
   398   0.325429       0.168441E-03
   399   0.324787       0.168531E-03
   400   0.324146       0.168620E-03
   401   0.323507       0.168708E-03
   402   0.322868       0.168795E-03
   403   0.322231       0.168881E-03
   404   0.321595       0.168967E-03
   405   0.320961       0.169051E-03
   406   0.320327       0.169134E-03
   407   0.319695       0.169216E-03
   408   0.319064       0.169297E-03
   409   0.318435       0.169377E-03
   410   0.317806       0.169456E-03
   411   0.317179       0.169535E-03
   412   0.316553       0.169612E-03
   413   0.315929       0.169688E-03
   414   0.315305       0.169763E-03
   415   0.314683       0.169838E-03
   416   0.314062       0.169911E-03
   417   0.313442       0.169984E-03
   418   0.312824       0.170055E-03
   419   0.312207       0.170126E-03
   420   0.311591       0.170195E-03
   421   0.310976       0.170264E-03
   422   0.310362       0.170332E-03
   423   0.309750       0.170399E-03
   424   0.309138       0.170465E-03
   425   0.308528       0.170530E-03
   426   0.307920       0.170594E-03
   427   0.307312       0.170657E-03
   428   0.306706       0.170719E-03
   429   0.306100       0.170780E-03
   430   0.305496       0.170841E-03
   431   0.304894       0.170900E-03
   432   0.304292       0.170959E-03
   433   0.303691       0.171017E-03
   434   0.303092       0.171074E-03
   435   0.302494       0.171129E-03
   436   0.301897       0.171185E-03
   437   0.301302       0.171239E-03
   438   0.300707       0.171292E-03
   439   0.300114       0.171344E-03
   440   0.299521       0.171396E-03
   441   0.298930       0.171447E-03
   442   0.298340       0.171496E-03
   443   0.297752       0.171545E-03
   444   0.297164       0.171593E-03
   445   0.296578       0.171641E-03
   446   0.295993       0.171687E-03
   447   0.295409       0.171733E-03
   448   0.294826       0.171777E-03
   449   0.294244       0.171821E-03
   450   0.293663       0.171864E-03
   451   0.293084       0.171906E-03
   452   0.292505       0.171947E-03
   453   0.291928       0.171988E-03
   454   0.291352       0.172028E-03
   455   0.290777       0.172066E-03
   456   0.290203       0.172104E-03
   457   0.289631       0.172142E-03
   458   0.289059       0.172178E-03
   459   0.288489       0.172213E-03
   460   0.287920       0.172248E-03
   461   0.287351       0.172282E-03
   462   0.286784       0.172315E-03
   463   0.286219       0.172348E-03
   464   0.285654       0.172379E-03
   465   0.285090       0.172410E-03
   466   0.284528       0.172440E-03
   467   0.283966       0.172469E-03
   468   0.283406       0.172497E-03
   469   0.282847       0.172525E-03
   470   0.282288       0.172552E-03
   471   0.281731       0.172578E-03
   472   0.281175       0.172603E-03
   473   0.280621       0.172627E-03
   474   0.280067       0.172651E-03
   475   0.279514       0.172674E-03
   476   0.278963       0.172696E-03
   477   0.278412       0.172718E-03
   478   0.277863       0.172738E-03
   479   0.277314       0.172758E-03
   480   0.276767       0.172778E-03
   481   0.276221       0.172796E-03
   482   0.275676       0.172814E-03
   483   0.275132       0.172831E-03
   484   0.274589       0.172847E-03
   485   0.274047       0.172862E-03
   486   0.273507       0.172877E-03
   487   0.272967       0.172891E-03
   488   0.272428       0.172904E-03
   489   0.271891       0.172917E-03
   490   0.271354       0.172929E-03
   491   0.270819       0.172940E-03
   492   0.270284       0.172950E-03
