Iter     SteadyRMS     UnsteadyRMS
     1   0.712878       0.462421E-06
     2   0.711472       0.923018E-06
     3   0.710070       0.138180E-05
     4   0.708670       0.183876E-05
     5   0.707273       0.229392E-05
     6   0.705879       0.274728E-05
     7   0.704487       0.319884E-05
     8   0.703098       0.364861E-05
     9   0.701712       0.409659E-05
    10   0.700329       0.454280E-05
    11   0.698948       0.498722E-05
    12   0.697571       0.542988E-05
    13   0.696195       0.587077E-05
    14   0.694823       0.630991E-05
    15   0.693453       0.674728E-05
    16   0.692086       0.718291E-05
    17   0.690722       0.761680E-05
    18   0.689360       0.804894E-05
    19   0.688001       0.847936E-05
    20   0.686645       0.890804E-05
    21   0.685292       0.933500E-05
    22   0.683941       0.976024E-05
    23   0.682592       0.101838E-04
    24   0.681247       0.106056E-04
    25   0.679904       0.110257E-04
    26   0.678563       0.114441E-04
    27   0.677226       0.118609E-04
    28   0.675891       0.122759E-04
    29   0.674558       0.126893E-04
    30   0.673229       0.131009E-04
    31   0.671901       0.135109E-04
    32   0.670577       0.139193E-04
    33   0.669255       0.143260E-04
    34   0.667936       0.147310E-04
    35   0.666619       0.151343E-04
    36   0.665305       0.155361E-04
    37   0.663993       0.159361E-04
    38   0.662684       0.163346E-04
    39   0.661378       0.167314E-04
    40   0.660074       0.171265E-04
    41   0.658773       0.175201E-04
    42   0.657474       0.179120E-04
    43   0.656178       0.183023E-04
    44   0.654885       0.186911E-04
    45   0.653594       0.190782E-04
    46   0.652305       0.194637E-04
    47   0.651019       0.198476E-04
    48   0.649736       0.202299E-04
    49   0.648455       0.206106E-04
    50   0.647177       0.209898E-04
    51   0.645901       0.213674E-04
    52   0.644628       0.217434E-04
    53   0.643357       0.221179E-04
    54   0.642089       0.224907E-04
    55   0.640823       0.228621E-04
    56   0.639560       0.232318E-04
    57   0.638299       0.236001E-04
    58   0.637041       0.239668E-04
    59   0.635785       0.243319E-04
    60   0.634531       0.246955E-04
    61   0.633280       0.250576E-04
    62   0.632032       0.254182E-04
    63   0.630786       0.257772E-04
    64   0.629543       0.261348E-04
    65   0.628302       0.264908E-04
    66   0.627063       0.268453E-04
    67   0.625827       0.271983E-04
    68   0.624593       0.275498E-04
    69   0.623362       0.278999E-04
    70   0.622133       0.282484E-04
    71   0.620907       0.285955E-04
    72   0.619683       0.289410E-04
    73   0.618461       0.292852E-04
    74   0.617242       0.296278E-04
    75   0.616025       0.299690E-04
    76   0.614811       0.303087E-04
    77   0.613599       0.306469E-04
    78   0.612389       0.309837E-04
    79   0.611182       0.313191E-04
    80   0.609977       0.316530E-04
    81   0.608775       0.319855E-04
    82   0.607574       0.323165E-04
    83   0.606377       0.326461E-04
