Iter     SteadyRMS     UnsteadyRMS
     1   0.712879       0.184896E-05
     2   0.711475       0.369063E-05
     3   0.710074       0.552503E-05
     4   0.708675       0.735219E-05
     5   0.707280       0.917213E-05
     6   0.705887       0.109849E-04
     7   0.704497       0.127904E-04
     8   0.703109       0.145888E-04
     9   0.701725       0.163801E-04
    10   0.700343       0.181642E-04
    11   0.698963       0.199413E-04
    12   0.697587       0.217112E-04
    13   0.696213       0.234741E-04
    14   0.694842       0.252300E-04
    15   0.693474       0.269789E-04
    16   0.692108       0.287208E-04
    17   0.690745       0.304557E-04
    18   0.689384       0.321837E-04
    19   0.688027       0.339047E-04
    20   0.686672       0.356188E-04
    21   0.685320       0.373261E-04
    22   0.683970       0.390264E-04
    23   0.682623       0.407200E-04
    24   0.681279       0.424067E-04
    25   0.679937       0.440865E-04
    26   0.678598       0.457597E-04
    27   0.677261       0.474260E-04
    28   0.675928       0.490856E-04
    29   0.674596       0.507385E-04
    30   0.673268       0.523846E-04
    31   0.671942       0.540241E-04
    32   0.670619       0.556569E-04
    33   0.669298       0.572831E-04
    34   0.667980       0.589026E-04
    35   0.666664       0.605156E-04
    36   0.665351       0.621219E-04
    37   0.664041       0.637217E-04
    38   0.662733       0.653149E-04
    39   0.661428       0.669017E-04
    40   0.660125       0.684819E-04
    41   0.658825       0.700556E-04
    42   0.657528       0.716228E-04
    43   0.656233       0.731836E-04
    44   0.654941       0.747380E-04
    45   0.653651       0.762860E-04
    46   0.652364       0.778275E-04
    47   0.651079       0.793627E-04
    48   0.649797       0.808916E-04
    49   0.648517       0.824141E-04
    50   0.647240       0.839303E-04
    51   0.645965       0.854402E-04
    52   0.644693       0.869438E-04
    53   0.643423       0.884411E-04
    54   0.642156       0.899323E-04
    55   0.640891       0.914172E-04
    56   0.639629       0.928959E-04
    57   0.638370       0.943684E-04
    58   0.637112       0.958347E-04
    59   0.635858       0.972950E-04
    60   0.634605       0.987490E-04
    61   0.633356       0.100197E-03
    62   0.632108       0.101639E-03
    63   0.630863       0.103075E-03
    64   0.629621       0.104504E-03
    65   0.628381       0.105928E-03
    66   0.627144       0.107346E-03
    67   0.625908       0.108758E-03
    68   0.624676       0.110163E-03
    69   0.623446       0.111563E-03
    70   0.622218       0.112957E-03
    71   0.620992       0.114345E-03
    72   0.619769       0.115727E-03
    73   0.618549       0.117103E-03
    74   0.617331       0.118473E-03
    75   0.616115       0.119837E-03
    76   0.614902       0.121196E-03
    77   0.613691       0.122549E-03
    78   0.612482       0.123896E-03
    79   0.611276       0.125237E-03
    80   0.610072       0.126572E-03
    81   0.608870       0.127902E-03
    82   0.607671       0.129225E-03
    83   0.606475       0.130544E-03
    84   0.605280       0.131856E-03
    85   0.604088       0.133163E-03
    86   0.602899       0.134464E-03
    87   0.601711       0.135759E-03
    88   0.600526       0.137049E-03
    89   0.599344       0.138333E-03
    90   0.598163       0.139612E-03
    91   0.596985       0.140885E-03
    92   0.595809       0.142153E-03
    93   0.594636       0.143415E-03
    94   0.593465       0.144671E-03
    95   0.592296       0.145922E-03
    96   0.591130       0.147167E-03
    97   0.589966       0.148407E-03
    98   0.588804       0.149642E-03
    99   0.587644       0.150871E-03
   100   0.586487       0.152095E-03
   101   0.585332       0.153313E-03
   102   0.584179       0.154526E-03
   103   0.583029       0.155733E-03
   104   0.581880       0.156935E-03
   105   0.580735       0.158132E-03
   106   0.579591       0.159323E-03
   107   0.578449       0.160509E-03
   108   0.577310       0.161690E-03
   109   0.576173       0.162866E-03
   110   0.575039       0.164036E-03
   111   0.573906       0.165201E-03
   112   0.572776       0.166361E-03
   113   0.571648       0.167515E-03
   114   0.570522       0.168665E-03
   115   0.569398       0.169809E-03
   116   0.568277       0.170948E-03
   117   0.567158       0.172082E-03
   118   0.566041       0.173211E-03
   119   0.564926       0.174334E-03
   120   0.563814       0.175453E-03
   121   0.562703       0.176566E-03
   122   0.561595       0.177675E-03
   123   0.560489       0.178778E-03
   124   0.559385       0.179877E-03
   125   0.558284       0.180970E-03
   126   0.557184       0.182058E-03
   127   0.556087       0.183141E-03
   128   0.554992       0.184220E-03
   129   0.553899       0.185293E-03
   130   0.552808       0.186361E-03
   131   0.551719       0.187425E-03
   132   0.550633       0.188483E-03
   133   0.549548       0.189537E-03
   134   0.548466       0.190586E-03
   135   0.547386       0.191630E-03
   136   0.546308       0.192669E-03
   137   0.545232       0.193703E-03
   138   0.544158       0.194732E-03
   139   0.543086       0.195757E-03
   140   0.542017       0.196777E-03
   141   0.540949       0.197792E-03
   142   0.539884       0.198802E-03
   143   0.538821       0.199807E-03
   144   0.537760       0.200808E-03
   145   0.536701       0.201804E-03
   146   0.535644       0.202795E-03
   147   0.534589       0.203782E-03
   148   0.533536       0.204764E-03
   149   0.532485       0.205741E-03
   150   0.531437       0.206714E-03
   151   0.530390       0.207682E-03
   152   0.529345       0.208645E-03
   153   0.528303       0.209604E-03
   154   0.527263       0.210558E-03
   155   0.526224       0.211508E-03
   156   0.525188       0.212453E-03
   157   0.524154       0.213394E-03
   158   0.523121       0.214330E-03
   159   0.522091       0.215261E-03
   160   0.521063       0.216188E-03
   161   0.520037       0.217110E-03
   162   0.519013       0.218028E-03
   163   0.517990       0.218942E-03
   164   0.516970       0.219851E-03
   165   0.515952       0.220756E-03
   166   0.514936       0.221656E-03
   167   0.513922       0.222552E-03
   168   0.512910       0.223443E-03
   169   0.511900       0.224330E-03
   170   0.510892       0.225213E-03
   171   0.509885       0.226091E-03
   172   0.508881       0.226965E-03
   173   0.507879       0.227835E-03
   174   0.506879       0.228700E-03
   175   0.505881       0.229562E-03
   176   0.504884       0.230418E-03
   177   0.503890       0.231271E-03
   178   0.502898       0.232119E-03
   179   0.501907       0.232963E-03
   180   0.500919       0.233803E-03
   181   0.499932       0.234639E-03
   182   0.498948       0.235470E-03
   183   0.497965       0.236297E-03
   184   0.496984       0.237120E-03
   185   0.496006       0.237939E-03
   186   0.495029       0.238754E-03
   187   0.494054       0.239564E-03
   188   0.493081       0.240371E-03
   189   0.492110       0.241173E-03
   190   0.491141       0.241972E-03
   191   0.490174       0.242766E-03
   192   0.489208       0.243556E-03
   193   0.488245       0.244342E-03
   194   0.487283       0.245124E-03
   195   0.486324       0.245902E-03
   196   0.485366       0.246676E-03
   197   0.484410       0.247446E-03
   198   0.483456       0.248212E-03
   199   0.482504       0.248974E-03
   200   0.481554       0.249732E-03
   201   0.480605       0.250486E-03
   202   0.479659       0.251236E-03
   203   0.478714       0.251982E-03
   204   0.477771       0.252724E-03
   205   0.476830       0.253463E-03
   206   0.475891       0.254197E-03
   207   0.474954       0.254928E-03
   208   0.474019       0.255654E-03
   209   0.473085       0.256377E-03
   210   0.472154       0.257096E-03
   211   0.471224       0.257812E-03
   212   0.470296       0.258523E-03
   213   0.469370       0.259231E-03
   214   0.468445       0.259934E-03
   215   0.467523       0.260634E-03
   216   0.466602       0.261331E-03
   217   0.465683       0.262023E-03
   218   0.464766       0.262712E-03
   219   0.463851       0.263397E-03
   220   0.462937       0.264078E-03
   221   0.462025       0.264756E-03
   222   0.461115       0.265430E-03
   223   0.460207       0.266100E-03
   224   0.459301       0.266766E-03
   225   0.458396       0.267429E-03
   226   0.457494       0.268088E-03
   227   0.456593       0.268744E-03
   228   0.455693       0.269396E-03
   229   0.454796       0.270044E-03
   230   0.453900       0.270689E-03
   231   0.453006       0.271330E-03
   232   0.452114       0.271968E-03
   233   0.451224       0.272602E-03
   234   0.450335       0.273232E-03
   235   0.449448       0.273859E-03
   236   0.448563       0.274482E-03
   237   0.447680       0.275102E-03
   238   0.446798       0.275719E-03
   239   0.445918       0.276331E-03
   240   0.445040       0.276941E-03
   241   0.444164       0.277547E-03
   242   0.443289       0.278149E-03
   243   0.442416       0.278748E-03
   244   0.441545       0.279344E-03
   245   0.440675       0.279936E-03
   246   0.439807       0.280524E-03
   247   0.438941       0.281110E-03
   248   0.438077       0.281691E-03
   249   0.437214       0.282270E-03
   250   0.436353       0.282845E-03
   251   0.435494       0.283417E-03
   252   0.434636       0.283985E-03
   253   0.433780       0.284550E-03
   254   0.432926       0.285112E-03
   255   0.432073       0.285670E-03
   256   0.431222       0.286226E-03
   257   0.430373       0.286777E-03
   258   0.429525       0.287326E-03
   259   0.428679       0.287871E-03
   260   0.427835       0.288413E-03
   261   0.426993       0.288952E-03
   262   0.426152       0.289487E-03
   263   0.425312       0.290020E-03
   264   0.424475       0.290549E-03
   265   0.423639       0.291074E-03
   266   0.422805       0.291597E-03
   267   0.421972       0.292116E-03
   268   0.421141       0.292633E-03
   269   0.420311       0.293146E-03
   270   0.419484       0.293656E-03
   271   0.418658       0.294162E-03
   272   0.417833       0.294666E-03
   273   0.417010       0.295167E-03
   274   0.416189       0.295664E-03
   275   0.415369       0.296158E-03
   276   0.414551       0.296649E-03
   277   0.413735       0.297138E-03
   278   0.412920       0.297623E-03
   279   0.412107       0.298105E-03
   280   0.411295       0.298583E-03
   281   0.410485       0.299059E-03
   282   0.409677       0.299532E-03
   283   0.408870       0.300002E-03
   284   0.408065       0.300469E-03
   285   0.407261       0.300932E-03
   286   0.406459       0.301393E-03
   287   0.405659       0.301851E-03
   288   0.404860       0.302306E-03
   289   0.404062       0.302758E-03
   290   0.403267       0.303207E-03
   291   0.402473       0.303653E-03
   292   0.401680       0.304096E-03
   293   0.400889       0.304536E-03
   294   0.400099       0.304973E-03
   295   0.399311       0.305407E-03
   296   0.398525       0.305839E-03
   297   0.397740       0.306267E-03
   298   0.396957       0.306693E-03
   299   0.396175       0.307115E-03
   300   0.395395       0.307535E-03
   301   0.394616       0.307952E-03
   302   0.393839       0.308367E-03
   303   0.393063       0.308778E-03
   304   0.392289       0.309186E-03
   305   0.391517       0.309592E-03
   306   0.390746       0.309995E-03
   307   0.389976       0.310395E-03
   308   0.389208       0.310793E-03
   309   0.388442       0.311187E-03
   310   0.387677       0.311579E-03
   311   0.386913       0.311968E-03
   312   0.386151       0.312355E-03
   313   0.385391       0.312738E-03
   314   0.384632       0.313119E-03
   315   0.383874       0.313497E-03
   316   0.383118       0.313873E-03
   317   0.382364       0.314245E-03
   318   0.381611       0.314616E-03
   319   0.380859       0.314983E-03
   320   0.380109       0.315348E-03
   321   0.379361       0.315710E-03
   322   0.378613       0.316069E-03
   323   0.377868       0.316426E-03
   324   0.377124       0.316780E-03
   325   0.376381       0.317132E-03
   326   0.375640       0.317481E-03
   327   0.374900       0.317827E-03
   328   0.374162       0.318171E-03
   329   0.373425       0.318512E-03
   330   0.372689       0.318850E-03
   331   0.371955       0.319186E-03
   332   0.371223       0.319519E-03
   333   0.370492       0.319850E-03
   334   0.369762       0.320179E-03
   335   0.369034       0.320504E-03
   336   0.368307       0.320828E-03
   337   0.367582       0.321148E-03
   338   0.366858       0.321467E-03
   339   0.366135       0.321782E-03
   340   0.365414       0.322095E-03
   341   0.364695       0.322406E-03
   342   0.363976       0.322714E-03
   343   0.363260       0.323020E-03
   344   0.362544       0.323324E-03
   345   0.361830       0.323624E-03
   346   0.361118       0.323923E-03
   347   0.360406       0.324219E-03
   348   0.359697       0.324512E-03
   349   0.358988       0.324804E-03
   350   0.358281       0.325092E-03
   351   0.357576       0.325379E-03
   352   0.356872       0.325663E-03
   353   0.356169       0.325944E-03
   354   0.355467       0.326223E-03
   355   0.354767       0.326500E-03
   356   0.354069       0.326775E-03
   357   0.353371       0.327047E-03
   358   0.352675       0.327317E-03
   359   0.351981       0.327584E-03
   360   0.351288       0.327849E-03
   361   0.350596       0.328112E-03
   362   0.349905       0.328373E-03
   363   0.349216       0.328631E-03
   364   0.348528       0.328887E-03
   365   0.347842       0.329140E-03
   366   0.347157       0.329392E-03
   367   0.346473       0.329641E-03
   368   0.345791       0.329888E-03
   369   0.345110       0.330132E-03
   370   0.344430       0.330374E-03
   371   0.343752       0.330615E-03
   372   0.343075       0.330852E-03
   373   0.342399       0.331088E-03
   374   0.341725       0.331321E-03
   375   0.341052       0.331553E-03
   376   0.340380       0.331782E-03
   377   0.339710       0.332008E-03
   378   0.339041       0.332233E-03
   379   0.338373       0.332456E-03
   380   0.337707       0.332676E-03
   381   0.337042       0.332894E-03
   382   0.336378       0.333110E-03
   383   0.335716       0.333324E-03
   384   0.335055       0.333536E-03
   385   0.334395       0.333745E-03
   386   0.333736       0.333953E-03
   387   0.333079       0.334158E-03
   388   0.332423       0.334361E-03
   389   0.331768       0.334562E-03
   390   0.331115       0.334761E-03
   391   0.330463       0.334958E-03
   392   0.329812       0.335153E-03
   393   0.329162       0.335346E-03
   394   0.328514       0.335537E-03
   395   0.327867       0.335725E-03
   396   0.327222       0.335912E-03
   397   0.326577       0.336097E-03
   398   0.325934       0.336279E-03
   399   0.325292       0.336460E-03
   400   0.324651       0.336638E-03
   401   0.324012       0.336815E-03
   402   0.323374       0.336989E-03
   403   0.322737       0.337162E-03
   404   0.322102       0.337333E-03
   405   0.321467       0.337501E-03
   406   0.320834       0.337668E-03
   407   0.320202       0.337832E-03
   408   0.319572       0.337995E-03
   409   0.318942       0.338156E-03
   410   0.318314       0.338314E-03
   411   0.317687       0.338471E-03
   412   0.317062       0.338626E-03
   413   0.316437       0.338779E-03
   414   0.315814       0.338930E-03
   415   0.315192       0.339079E-03
   416   0.314571       0.339227E-03
   417   0.313952       0.339372E-03
   418   0.313334       0.339515E-03
   419   0.312716       0.339657E-03
   420   0.312101       0.339797E-03
   421   0.311486       0.339934E-03
   422   0.310873       0.340070E-03
   423   0.310260       0.340204E-03
   424   0.309649       0.340337E-03
   425   0.309039       0.340467E-03
   426   0.308431       0.340596E-03
   427   0.307823       0.340722E-03
   428   0.307217       0.340847E-03
   429   0.306612       0.340970E-03
   430   0.306008       0.341092E-03
   431   0.305406       0.341211E-03
   432   0.304804       0.341329E-03
   433   0.304204       0.341445E-03
   434   0.303605       0.341559E-03
   435   0.303007       0.341671E-03
   436   0.302410       0.341782E-03
   437   0.301815       0.341891E-03
   438   0.301220       0.341998E-03
   439   0.300627       0.342103E-03
   440   0.300035       0.342207E-03
   441   0.299444       0.342308E-03
   442   0.298854       0.342409E-03
   443   0.298266       0.342507E-03
   444   0.297678       0.342604E-03
   445   0.297092       0.342699E-03
   446   0.296507       0.342792E-03
   447   0.295923       0.342883E-03
   448   0.295340       0.342973E-03
