Iter     SteadyRMS     UnsteadyRMS
     1   0.740824       0.512676E-04
     2   0.736319       0.101908E-03
     3   0.731842       0.151927E-03
     4   0.727391       0.201331E-03
     5   0.722968       0.250125E-03
     6   0.718572       0.298315E-03
     7   0.714203       0.345905E-03
     8   0.709860       0.392903E-03
     9   0.705543       0.439313E-03
    10   0.701253       0.485140E-03
    11   0.696989       0.530391E-03
    12   0.692751       0.575070E-03
    13   0.688538       0.619183E-03
    14   0.684352       0.662735E-03
    15   0.680190       0.705731E-03
    16   0.676054       0.748176E-03
    17   0.671943       0.790076E-03
    18   0.667857       0.831436E-03
    19   0.663796       0.872260E-03
    20   0.659760       0.912554E-03
    21   0.655748       0.952322E-03
    22   0.651761       0.991570E-03
    23   0.647797       0.103030E-02
    24   0.643858       0.106852E-02
    25   0.639943       0.110624E-02
    26   0.636052       0.114345E-02
    27   0.632184       0.118017E-02
    28   0.628340       0.121640E-02
    29   0.624519       0.125213E-02
    30   0.620722       0.128739E-02
    31   0.616947       0.132217E-02
    32   0.613196       0.135647E-02
    33   0.609467       0.139031E-02
    34   0.605761       0.142368E-02
    35   0.602078       0.145659E-02
    36   0.598417       0.148905E-02
    37   0.594778       0.152105E-02
    38   0.591161       0.155261E-02
    39   0.587566       0.158372E-02
    40   0.583994       0.161440E-02
    41   0.580443       0.164464E-02
    42   0.576913       0.167445E-02
    43   0.573405       0.170383E-02
    44   0.569918       0.173279E-02
    45   0.566453       0.176134E-02
    46   0.563008       0.178947E-02
    47   0.559585       0.181719E-02
    48   0.556182       0.184451E-02
    49   0.552800       0.187142E-02
    50   0.549439       0.189793E-02
    51   0.546098       0.192405E-02
    52   0.542777       0.194978E-02
    53   0.539476       0.197513E-02
    54   0.536196       0.200009E-02
    55   0.532936       0.202467E-02
    56   0.529695       0.204888E-02
    57   0.526474       0.207271E-02
    58   0.523273       0.209618E-02
    59   0.520091       0.211928E-02
    60   0.516928       0.214202E-02
    61   0.513785       0.216440E-02
    62   0.510661       0.218643E-02
    63   0.507556       0.220811E-02
    64   0.504469       0.222944E-02
    65   0.501402       0.225043E-02
    66   0.498353       0.227108E-02
    67   0.495322       0.229139E-02
    68   0.492311       0.231137E-02
    69   0.489317       0.233102E-02
    70   0.486342       0.235034E-02
    71   0.483384       0.236934E-02
    72   0.480445       0.238802E-02
    73   0.477523       0.240638E-02
    74   0.474620       0.242443E-02
    75   0.471734       0.244216E-02
    76   0.468865       0.245959E-02
    77   0.466014       0.247672E-02
    78   0.463180       0.249354E-02
    79   0.460364       0.251006E-02
    80   0.457565       0.252629E-02
    81   0.454782       0.254223E-02
    82   0.452017       0.255788E-02
    83   0.449268       0.257324E-02
    84   0.446536       0.258832E-02
    85   0.443821       0.260311E-02
    86   0.441122       0.261763E-02
    87   0.438440       0.263188E-02
    88   0.435774       0.264585E-02
    89   0.433124       0.265955E-02
    90   0.430490       0.267299E-02
    91   0.427873       0.268616E-02
    92   0.425271       0.269907E-02
    93   0.422685       0.271173E-02
    94   0.420115       0.272412E-02
    95   0.417560       0.273627E-02
    96   0.415021       0.274816E-02
    97   0.412498       0.275981E-02
    98   0.409989       0.277121E-02
    99   0.407496       0.278237E-02
   100   0.405018       0.279329E-02
   101   0.402555       0.280397E-02
   102   0.400108       0.281441E-02
   103   0.397675       0.282463E-02
   104   0.395257       0.283461E-02
   105   0.392853       0.284437E-02
   106   0.390464       0.285390E-02
   107   0.388090       0.286320E-02
   108   0.385730       0.287229E-02
   109   0.383385       0.288116E-02
   110   0.381053       0.288981E-02
   111   0.378736       0.289825E-02
   112   0.376433       0.290648E-02
   113   0.374144       0.291450E-02
   114   0.371869       0.292231E-02
   115   0.369608       0.292992E-02
   116   0.367360       0.293732E-02
   117   0.365127       0.294453E-02
   118   0.362906       0.295153E-02
   119   0.360700       0.295834E-02
   120   0.358506       0.296496E-02
   121   0.356326       0.297139E-02
   122   0.354160       0.297762E-02
   123   0.352006       0.298367E-02
   124   0.349866       0.298954E-02
   125   0.347738       0.299522E-02
   126   0.345624       0.300072E-02
   127   0.343522       0.300604E-02
   128   0.341433       0.301118E-02
   129   0.339357       0.301615E-02
   130   0.337293       0.302094E-02
   131   0.335242       0.302556E-02
   132   0.333204       0.303002E-02
   133   0.331178       0.303430E-02
   134   0.329164       0.303842E-02
   135   0.327162       0.304238E-02
   136   0.325173       0.304617E-02
   137   0.323196       0.304980E-02
   138   0.321231       0.305328E-02
   139   0.319277       0.305660E-02
   140   0.317336       0.305976E-02
   141   0.315406       0.306277E-02
   142   0.313488       0.306563E-02
   143   0.311582       0.306834E-02
   144   0.309687       0.307091E-02
   145   0.307804       0.307332E-02
   146   0.305933       0.307560E-02
   147   0.304072       0.307773E-02
   148   0.302223       0.307971E-02
   149   0.300386       0.308156E-02
   150   0.298559       0.308327E-02
   151   0.296743       0.308485E-02
   152   0.294939       0.308629E-02
   153   0.293146       0.308760E-02
   154   0.291363       0.308877E-02
   155   0.289591       0.308982E-02
   156   0.287830       0.309074E-02
   157   0.286080       0.309153E-02
   158   0.284341       0.309219E-02
   159   0.282612       0.309274E-02
   160   0.280893       0.309316E-02
   161   0.279185       0.309346E-02
   162   0.277487       0.309364E-02
   163   0.275800       0.309370E-02
   164   0.274123       0.309364E-02
   165   0.272456       0.309347E-02
   166   0.270799       0.309319E-02
   167   0.269153       0.309280E-02
   168   0.267516       0.309229E-02
   169   0.265889       0.309167E-02
   170   0.264273       0.309095E-02
   171   0.262666       0.309012E-02
   172   0.261069       0.308918E-02
   173   0.259481       0.308814E-02
   174   0.257903       0.308700E-02
   175   0.256335       0.308576E-02
   176   0.254776       0.308441E-02
   177   0.253227       0.308297E-02
   178   0.251687       0.308143E-02
   179   0.250157       0.307979E-02
   180   0.248636       0.307806E-02
   181   0.247124       0.307623E-02
   182   0.245621       0.307431E-02
   183   0.244127       0.307230E-02
   184   0.242643       0.307020E-02
   185   0.241168       0.306801E-02
   186   0.239701       0.306573E-02
   187   0.238244       0.306336E-02
   188   0.236795       0.306091E-02
   189   0.235355       0.305838E-02
   190   0.233924       0.305576E-02
   191   0.232501       0.305306E-02
   192   0.231088       0.305027E-02
   193   0.229682       0.304741E-02
   194   0.228286       0.304447E-02
   195   0.226898       0.304145E-02
   196   0.225518       0.303835E-02
   197   0.224147       0.303518E-02
   198   0.222784       0.303193E-02
   199   0.221429       0.302861E-02
   200   0.220083       0.302522E-02
   201   0.218744       0.302175E-02
   202   0.217414       0.301821E-02
   203   0.216092       0.301461E-02
   204   0.214778       0.301093E-02
   205   0.213472       0.300719E-02
   206   0.212174       0.300338E-02
   207   0.210884       0.299950E-02
   208   0.209602       0.299556E-02
   209   0.208327       0.299156E-02
   210   0.207060       0.298749E-02
   211   0.205801       0.298336E-02
   212   0.204550       0.297917E-02
   213   0.203306       0.297492E-02
   214   0.202070       0.297061E-02
   215   0.200841       0.296624E-02
   216   0.199620       0.296182E-02
   217   0.198406       0.295733E-02
   218   0.197199       0.295279E-02
   219   0.196000       0.294820E-02
   220   0.194808       0.294355E-02
   221   0.193624       0.293885E-02
