Iter     SteadyRMS     UnsteadyRMS
     1   0.696882       0.478454E-05
     2   0.679902       0.933590E-05
     3   0.663336       0.136626E-04
     4   0.647174       0.177729E-04
     5   0.631405       0.216747E-04
     6   0.616020       0.253758E-04
     7   0.601011       0.288837E-04
     8   0.586367       0.322055E-04
     9   0.572080       0.353483E-04
    10   0.558141       0.383188E-04
    11   0.544542       0.411235E-04
    12   0.531274       0.437688E-04
    13   0.518329       0.462607E-04
    14   0.505700       0.486052E-04
    15   0.493378       0.508079E-04
    16   0.481357       0.528745E-04
    17   0.469628       0.548101E-04
    18   0.458186       0.566200E-04
    19   0.447022       0.583092E-04
    20   0.436130       0.598824E-04
    21   0.425503       0.613442E-04
    22   0.415136       0.626993E-04
    23   0.405021       0.639520E-04
    24   0.395152       0.651063E-04
    25   0.385524       0.661664E-04
    26   0.376131       0.671361E-04
    27   0.366966       0.680194E-04
    28   0.358025       0.688197E-04
    29   0.349302       0.695406E-04
    30   0.340791       0.701855E-04
    31   0.332487       0.707576E-04
    32   0.324386       0.712602E-04
    33   0.316482       0.716963E-04
    34   0.308771       0.720689E-04
    35   0.301248       0.723806E-04
    36   0.293908       0.726344E-04
    37   0.286747       0.728329E-04
    38   0.279760       0.729785E-04
    39   0.272943       0.730738E-04
    40   0.266293       0.731211E-04
    41   0.259805       0.731227E-04
    42   0.253474       0.730809E-04
    43   0.247298       0.729976E-04
    44   0.241273       0.728750E-04
    45   0.235394       0.727150E-04
    46   0.229659       0.725195E-04
    47   0.224063       0.722904E-04
    48   0.218604       0.720294E-04
    49   0.213277       0.717382E-04
    50   0.208081       0.714184E-04
    51   0.203011       0.710716E-04
    52   0.198064       0.706992E-04
    53   0.193238       0.703029E-04
    54   0.188530       0.698838E-04
    55   0.183936       0.694434E-04
    56   0.179455       0.689830E-04
    57   0.175082       0.685038E-04
    58   0.170816       0.680070E-04
    59   0.166654       0.674937E-04
    60   0.162594       0.669651E-04
    61   0.158632       0.664221E-04
    62   0.154767       0.658658E-04
    63   0.150996       0.652972E-04
    64   0.147317       0.647172E-04
    65   0.143727       0.641267E-04
    66   0.140225       0.635265E-04
    67   0.136809       0.629175E-04
    68   0.133475       0.623005E-04
    69   0.130223       0.616762E-04
    70   0.127050       0.610453E-04
    71   0.123955       0.604085E-04
    72   0.120934       0.597665E-04
    73   0.117988       0.591199E-04
    74   0.115113       0.584694E-04
    75   0.112308       0.578154E-04
    76   0.109572       0.571586E-04
    77   0.106902       0.564995E-04
    78   0.104297       0.558386E-04
    79   0.101756       0.551763E-04
    80   0.992768E-01   0.545131E-04
    81   0.968578E-01   0.538495E-04
    82   0.944979E-01   0.531859E-04
    83   0.921954E-01   0.525226E-04
    84   0.899490E-01   0.518601E-04
    85   0.877574E-01   0.511987E-04
    86   0.856191E-01   0.505387E-04
    87   0.835330E-01   0.498804E-04
    88   0.814977E-01   0.492243E-04
    89   0.795119E-01   0.485705E-04
    90   0.775746E-01   0.479193E-04
    91   0.756845E-01   0.472710E-04
    92   0.738404E-01   0.466259E-04
    93   0.720412E-01   0.459842E-04
    94   0.702859E-01   0.453460E-04
    95   0.685734E-01   0.447116E-04
    96   0.669026E-01   0.440812E-04
    97   0.652724E-01   0.434550E-04
    98   0.636821E-01   0.428331E-04
    99   0.621304E-01   0.422158E-04
   100   0.606166E-01   0.416031E-04
   101   0.591396E-01   0.409951E-04
   102   0.576987E-01   0.403921E-04
   103   0.562928E-01   0.397942E-04
   104   0.549212E-01   0.392014E-04
   105   0.535830E-01   0.386138E-04
   106   0.522775E-01   0.380317E-04
   107   0.510037E-01   0.374549E-04
   108   0.497610E-01   0.368837E-04
   109   0.485485E-01   0.363181E-04
   110   0.473656E-01   0.357581E-04
   111   0.462116E-01   0.352039E-04
   112   0.450856E-01   0.346555E-04
   113   0.439871E-01   0.341128E-04
   114   0.429153E-01   0.335761E-04
   115   0.418697E-01   0.330452E-04
   116   0.408495E-01   0.325203E-04
   117   0.398542E-01   0.320013E-04
   118   0.388831E-01   0.314883E-04
   119   0.379357E-01   0.309814E-04
   120   0.370114E-01   0.304804E-04
   121   0.361096E-01   0.299854E-04
   122   0.352298E-01   0.294965E-04
   123   0.343714E-01   0.290136E-04
   124   0.335339E-01   0.285367E-04
   125   0.327168E-01   0.280658E-04
   126   0.319197E-01   0.276010E-04
   127   0.311419E-01   0.271421E-04
   128   0.303832E-01   0.266892E-04
   129   0.296429E-01   0.262422E-04
   130   0.289206E-01   0.258012E-04
   131   0.282159E-01   0.253661E-04
   132   0.275284E-01   0.249369E-04
   133   0.268577E-01   0.245135E-04
   134   0.262033E-01   0.240959E-04
   135   0.255649E-01   0.236842E-04
   136   0.249420E-01   0.232782E-04
   137   0.243342E-01   0.228779E-04
   138   0.237413E-01   0.224834E-04
   139   0.231629E-01   0.220944E-04
   140   0.225985E-01   0.217111E-04
   141   0.220479E-01   0.213333E-04
   142   0.215107E-01   0.209611E-04
   143   0.209865E-01   0.205943E-04
   144   0.204752E-01   0.202329E-04
   145   0.199763E-01   0.198770E-04
   146   0.194896E-01   0.195263E-04
   147   0.190147E-01   0.191810E-04
   148   0.185514E-01   0.188409E-04
   149   0.180994E-01   0.185059E-04
   150   0.176584E-01   0.181761E-04
   151   0.172281E-01   0.178514E-04
   152   0.168084E-01   0.175318E-04
   153   0.163988E-01   0.172171E-04
   154   0.159993E-01   0.169073E-04
