Iter     SteadyRMS     UnsteadyRMS
     1   0.705584       0.560842E-04
     2   0.696988       0.110798E-03
     3   0.688497       0.164165E-03
     4   0.680109       0.216211E-03
     5   0.671823       0.266961E-03
     6   0.663639       0.316438E-03
     7   0.655554       0.364666E-03
     8   0.647567       0.411667E-03
     9   0.639678       0.457465E-03
    10   0.631885       0.502082E-03
    11   0.624187       0.545540E-03
    12   0.616583       0.587861E-03
    13   0.609071       0.629066E-03
    14   0.601651       0.669176E-03
    15   0.594321       0.708212E-03
    16   0.587081       0.746193E-03
    17   0.579929       0.783140E-03
    18   0.572864       0.819073E-03
    19   0.565885       0.854010E-03
    20   0.558991       0.887971E-03
    21   0.552181       0.920974E-03
    22   0.545454       0.953038E-03
    23   0.538808       0.984180E-03
    24   0.532244       0.101442E-02
    25   0.525760       0.104377E-02
    26   0.519355       0.107226E-02
    27   0.513028       0.109989E-02
    28   0.506778       0.112668E-02
    29   0.500604       0.115266E-02
    30   0.494505       0.117783E-02
    31   0.488481       0.120222E-02
    32   0.482530       0.122583E-02
    33   0.476651       0.124869E-02
    34   0.470844       0.127080E-02
    35   0.465108       0.129219E-02
    36   0.459442       0.131287E-02
    37   0.453845       0.133285E-02
    38   0.448316       0.135214E-02
    39   0.442854       0.137076E-02
    40   0.437459       0.138872E-02
    41   0.432129       0.140605E-02
    42   0.426865       0.142274E-02
    43   0.421664       0.143881E-02
    44   0.416527       0.145427E-02
    45   0.411453       0.146915E-02
    46   0.406440       0.148344E-02
    47   0.401489       0.149716E-02
    48   0.396598       0.151033E-02
    49   0.391766       0.152295E-02
    50   0.386993       0.153504E-02
    51   0.382279       0.154661E-02
    52   0.377621       0.155766E-02
    53   0.373021       0.156821E-02
    54   0.368477       0.157827E-02
    55   0.363988       0.158785E-02
    56   0.359553       0.159696E-02
    57   0.355173       0.160561E-02
    58   0.350846       0.161381E-02
    59   0.346572       0.162157E-02
    60   0.342349       0.162890E-02
    61   0.338179       0.163581E-02
    62   0.334059       0.164231E-02
    63   0.329989       0.164840E-02
    64   0.325969       0.165410E-02
    65   0.321998       0.165941E-02
    66   0.318075       0.166435E-02
    67   0.314200       0.166891E-02
    68   0.310372       0.167312E-02
    69   0.306591       0.167698E-02
    70   0.302856       0.168049E-02
    71   0.299166       0.168366E-02
    72   0.295522       0.168651E-02
    73   0.291921       0.168903E-02
    74   0.288365       0.169125E-02
    75   0.284852       0.169315E-02
    76   0.281382       0.169476E-02
    77   0.277954       0.169607E-02
    78   0.274567       0.169710E-02
    79   0.271222       0.169785E-02
    80   0.267918       0.169833E-02
    81   0.264654       0.169854E-02
    82   0.261430       0.169849E-02
    83   0.258245       0.169820E-02
    84   0.255099       0.169765E-02
    85   0.251991       0.169686E-02
    86   0.248921       0.169585E-02
    87   0.245889       0.169460E-02
    88   0.242893       0.169313E-02
    89   0.239934       0.169144E-02
    90   0.237011       0.168954E-02
    91   0.234124       0.168743E-02
    92   0.231271       0.168512E-02
    93   0.228454       0.168262E-02
    94   0.225671       0.167993E-02
    95   0.222921       0.167705E-02
    96   0.220206       0.167399E-02
    97   0.217523       0.167075E-02
    98   0.214873       0.166735E-02
    99   0.212255       0.166378E-02
   100   0.209669       0.166004E-02
   101   0.207115       0.165615E-02
   102   0.204592       0.165211E-02
   103   0.202099       0.164791E-02
   104   0.199637       0.164358E-02
   105   0.197205       0.163910E-02
   106   0.194803       0.163449E-02
   107   0.192429       0.162974E-02
   108   0.190085       0.162487E-02
   109   0.187769       0.161987E-02
   110   0.185482       0.161475E-02
   111   0.183222       0.160952E-02
   112   0.180990       0.160417E-02
   113   0.178785       0.159871E-02
   114   0.176607       0.159315E-02
   115   0.174455       0.158748E-02
   116   0.172330       0.158171E-02
   117   0.170231       0.157585E-02
   118   0.168157       0.156989E-02
   119   0.166108       0.156385E-02
   120   0.164084       0.155772E-02
   121   0.162085       0.155150E-02
   122   0.160111       0.154520E-02
   123   0.158160       0.153883E-02
   124   0.156233       0.153238E-02
   125   0.154330       0.152586E-02
   126   0.152450       0.151927E-02
   127   0.150593       0.151261E-02
   128   0.148758       0.150589E-02
   129   0.146946       0.149910E-02
   130   0.145156       0.149226E-02
   131   0.143387       0.148536E-02
   132   0.141640       0.147841E-02
   133   0.139915       0.147140E-02
   134   0.138210       0.146434E-02
   135   0.136526       0.145724E-02
   136   0.134863       0.145009E-02
   137   0.133220       0.144290E-02
   138   0.131597       0.143567E-02
   139   0.129994       0.142840E-02
   140   0.128410       0.142109E-02
   141   0.126846       0.141375E-02
   142   0.125301       0.140638E-02
   143   0.123774       0.139897E-02
   144   0.122266       0.139154E-02
   145   0.120777       0.138408E-02
   146   0.119305       0.137659E-02
   147   0.117852       0.136908E-02
   148   0.116416       0.136154E-02
   149   0.114998       0.135399E-02
   150   0.113597       0.134642E-02
   151   0.112213       0.133883E-02
   152   0.110846       0.133122E-02
   153   0.109495       0.132361E-02
   154   0.108162       0.131597E-02
   155   0.106844       0.130833E-02
   156   0.105542       0.130068E-02
   157   0.104256       0.129302E-02
   158   0.102986       0.128535E-02
   159   0.101732       0.127768E-02
   160   0.100492       0.127000E-02
   161   0.992680E-01   0.126232E-02
