Iter     SteadyRMS     UnsteadyRMS
     1   0.713581       0.231610E-06
     2   0.712878       0.462763E-06
     3   0.712175       0.693460E-06
     4   0.711472       0.923702E-06
     5   0.710771       0.115349E-05
     6   0.710070       0.138282E-05
     7   0.709370       0.161170E-05
     8   0.708670       0.184013E-05
     9   0.707971       0.206810E-05
    10   0.707273       0.229562E-05
    11   0.706575       0.252269E-05
    12   0.705879       0.274931E-05
    13   0.705183       0.297549E-05
    14   0.704487       0.320121E-05
    15   0.703792       0.342648E-05
    16   0.703098       0.365131E-05
    17   0.702405       0.387569E-05
    18   0.701712       0.409963E-05
    19   0.701020       0.432312E-05
    20   0.700329       0.454616E-05
    21   0.699638       0.476876E-05
    22   0.698948       0.499092E-05
    23   0.698259       0.521263E-05
    24   0.697571       0.543390E-05
    25   0.696883       0.565473E-05
    26   0.696195       0.587512E-05
    27   0.695509       0.609507E-05
    28   0.694823       0.631458E-05
    29   0.694138       0.653365E-05
    30   0.693453       0.675228E-05
    31   0.692769       0.697047E-05
    32   0.692086       0.718823E-05
    33   0.691404       0.740555E-05
    34   0.690722       0.762244E-05
    35   0.690041       0.783889E-05
    36   0.689360       0.805490E-05
    37   0.688681       0.827048E-05
    38   0.688001       0.848563E-05
    39   0.687323       0.870035E-05
    40   0.686645       0.891463E-05
    41   0.685968       0.912849E-05
    42   0.685292       0.934191E-05
    43   0.684616       0.955490E-05
    44   0.683941       0.976747E-05
    45   0.683266       0.997960E-05
    46   0.682592       0.101913E-04
    47   0.681919       0.104026E-04
    48   0.681247       0.106134E-04
    49   0.680575       0.108239E-04
    50   0.679904       0.110339E-04
    51   0.679233       0.112434E-04
    52   0.678563       0.114526E-04
    53   0.677894       0.116613E-04
    54   0.677226       0.118696E-04
    55   0.676558       0.120775E-04
    56   0.675891       0.122850E-04
    57   0.675224       0.124920E-04
    58   0.674558       0.126986E-04
    59   0.673893       0.129048E-04
    60   0.673229       0.131106E-04
    61   0.672565       0.133160E-04
    62   0.671901       0.135209E-04
    63   0.671239       0.137255E-04
    64   0.670577       0.139296E-04
    65   0.669916       0.141333E-04
    66   0.669255       0.143366E-04
    67   0.668595       0.145394E-04
    68   0.667936       0.147419E-04
    69   0.667277       0.149439E-04
    70   0.666619       0.151455E-04
    71   0.665962       0.153468E-04
    72   0.665305       0.155476E-04
    73   0.664649       0.157479E-04
    74   0.663993       0.159479E-04
    75   0.663338       0.161475E-04
    76   0.662684       0.163467E-04
    77   0.662031       0.165454E-04
    78   0.661378       0.167438E-04
    79   0.660726       0.169417E-04
    80   0.660074       0.171392E-04
    81   0.659423       0.173363E-04
    82   0.658773       0.175331E-04
    83   0.658123       0.177294E-04
    84   0.657474       0.179253E-04
    85   0.656826       0.181208E-04
    86   0.656178       0.183159E-04
    87   0.655531       0.185106E-04
    88   0.654885       0.187049E-04
    89   0.654239       0.188988E-04
    90   0.653594       0.190923E-04
    91   0.652949       0.192854E-04
    92   0.652305       0.194781E-04
    93   0.651662       0.196704E-04
    94   0.651019       0.198623E-04
    95   0.650377       0.200538E-04
    96   0.649736       0.202449E-04
    97   0.649095       0.204356E-04
    98   0.648455       0.206259E-04
    99   0.647816       0.208158E-04
   100   0.647177       0.210053E-04
   101   0.646539       0.211945E-04
   102   0.645901       0.213832E-04
   103   0.645264       0.215716E-04
   104   0.644628       0.217595E-04
   105   0.643992       0.219471E-04
   106   0.643357       0.221342E-04
   107   0.642722       0.223210E-04
   108   0.642089       0.225074E-04
   109   0.641455       0.226934E-04
   110   0.640823       0.228790E-04
   111   0.640191       0.230642E-04
   112   0.639560       0.232490E-04
   113   0.638929       0.234335E-04
   114   0.638299       0.236176E-04
   115   0.637669       0.238012E-04
   116   0.637041       0.239845E-04
   117   0.636412       0.241674E-04
   118   0.635785       0.243499E-04
   119   0.635158       0.245321E-04
   120   0.634531       0.247138E-04
   121   0.633906       0.248952E-04
   122   0.633281       0.250762E-04
   123   0.632656       0.252568E-04
   124   0.632032       0.254370E-04
   125   0.631409       0.256169E-04
   126   0.630786       0.257963E-04
   127   0.630164       0.259754E-04
   128   0.629543       0.261541E-04
   129   0.628922       0.263325E-04
   130   0.628302       0.265104E-04
   131   0.627682       0.266880E-04
   132   0.627063       0.268652E-04
   133   0.626445       0.270420E-04
   134   0.625827       0.272185E-04
   135   0.625210       0.273945E-04
   136   0.624593       0.275702E-04
   137   0.623977       0.277456E-04
   138   0.623362       0.279205E-04
   139   0.622747       0.280951E-04
   140   0.622133       0.282693E-04
   141   0.621520       0.284432E-04
   142   0.620907       0.286166E-04
   143   0.620294       0.287897E-04
   144   0.619683       0.289625E-04
   145   0.619072       0.291348E-04
   146   0.618461       0.293068E-04
   147   0.617851       0.294785E-04
   148   0.617242       0.296497E-04
   149   0.616633       0.298206E-04
   150   0.616025       0.299911E-04
   151   0.615418       0.301613E-04
   152   0.614811       0.303311E-04
   153   0.614204       0.305005E-04
   154   0.613599       0.306696E-04
   155   0.612994       0.308383E-04
   156   0.612389       0.310067E-04
   157   0.611785       0.311746E-04
   158   0.611182       0.313423E-04
   159   0.610579       0.315095E-04
   160   0.609977       0.316764E-04
   161   0.609376       0.318430E-04
   162   0.608775       0.320091E-04
   163   0.608174       0.321750E-04
   164   0.607574       0.323404E-04
   165   0.606975       0.325055E-04
   166   0.606377       0.326703E-04
   167   0.605779       0.328347E-04
   168   0.605181       0.329987E-04
   169   0.604585       0.331624E-04
   170   0.603988       0.333257E-04
   171   0.603393       0.334887E-04
   172   0.602798       0.336513E-04
   173   0.602203       0.338136E-04
   174   0.601609       0.339755E-04
   175   0.601016       0.341370E-04
   176   0.600423       0.342982E-04
   177   0.599831       0.344591E-04
   178   0.599240       0.346196E-04
   179   0.598649       0.347798E-04
   180   0.598059       0.349396E-04
   181   0.597469       0.350990E-04
   182   0.596880       0.352581E-04
   183   0.596291       0.354169E-04
   184   0.595703       0.355753E-04
   185   0.595115       0.357334E-04
   186   0.594529       0.358911E-04
   187   0.593942       0.360485E-04
   188   0.593357       0.362055E-04
   189   0.592771       0.363622E-04
   190   0.592187       0.365185E-04
   191   0.591603       0.366745E-04
   192   0.591019       0.368302E-04
   193   0.590437       0.369855E-04
   194   0.589854       0.371404E-04
   195   0.589273       0.372950E-04
   196   0.588692       0.374493E-04
   197   0.588111       0.376033E-04
   198   0.587531       0.377569E-04
   199   0.586952       0.379101E-04
   200   0.586373       0.380631E-04
   201   0.585795       0.382157E-04
   202   0.585217       0.383679E-04
   203   0.584640       0.385198E-04
   204   0.584063       0.386714E-04
   205   0.583487       0.388226E-04
   206   0.582912       0.389735E-04
   207   0.582337       0.391241E-04
   208   0.581763       0.392743E-04
   209   0.581189       0.394242E-04
   210   0.580616       0.395738E-04
   211   0.580043       0.397230E-04
   212   0.579471       0.398719E-04
   213   0.578900       0.400205E-04
   214   0.578329       0.401687E-04
   215   0.577759       0.403166E-04
   216   0.577189       0.404642E-04
   217   0.576620       0.406114E-04
   218   0.576051       0.407583E-04
   219   0.575483       0.409049E-04
   220   0.574916       0.410511E-04
   221   0.574349       0.411971E-04
   222   0.573782       0.413427E-04
   223   0.573216       0.414879E-04
   224   0.572651       0.416329E-04
   225   0.572086       0.417775E-04
   226   0.571522       0.419218E-04
   227   0.570959       0.420657E-04
   228   0.570396       0.422094E-04
   229   0.569833       0.423527E-04
   230   0.569271       0.424957E-04
   231   0.568710       0.426383E-04
   232   0.568149       0.427807E-04
   233   0.567589       0.429227E-04
   234   0.567029       0.430644E-04
   235   0.566470       0.432058E-04
   236   0.565911       0.433469E-04
   237   0.565353       0.434876E-04
   238   0.564795       0.436280E-04
   239   0.564239       0.437681E-04
   240   0.563682       0.439079E-04
   241   0.563126       0.440474E-04
   242   0.562571       0.441865E-04
   243   0.562016       0.443253E-04
   244   0.561462       0.444638E-04
   245   0.560908       0.446020E-04
   246   0.560355       0.447399E-04
   247   0.559802       0.448775E-04
   248   0.559250       0.450147E-04
   249   0.558699       0.451517E-04
   250   0.558148       0.452883E-04
   251   0.557598       0.454246E-04
   252   0.557048       0.455606E-04
   253   0.556498       0.456962E-04
   254   0.555950       0.458316E-04
   255   0.555401       0.459667E-04
   256   0.554854       0.461014E-04
   257   0.554306       0.462359E-04
   258   0.553760       0.463700E-04
   259   0.553214       0.465038E-04
   260   0.552668       0.466373E-04
   261   0.552123       0.467705E-04
   262   0.551579       0.469034E-04
   263   0.551035       0.470360E-04
   264   0.550491       0.471683E-04
   265   0.549948       0.473002E-04
   266   0.549406       0.474319E-04
   267   0.548864       0.475632E-04
   268   0.548323       0.476943E-04
   269   0.547782       0.478250E-04
   270   0.547242       0.479555E-04
   271   0.546702       0.480856E-04
   272   0.546163       0.482155E-04
   273   0.545625       0.483450E-04
   274   0.545087       0.484742E-04
   275   0.544549       0.486031E-04
   276   0.544012       0.487318E-04
   277   0.543476       0.488601E-04
   278   0.542940       0.489881E-04
   279   0.542404       0.491158E-04
   280   0.541869       0.492433E-04
   281   0.541335       0.493704E-04
   282   0.540801       0.494972E-04
   283   0.540268       0.496238E-04
   284   0.539735       0.497500E-04
   285   0.539203       0.498759E-04
   286   0.538671       0.500016E-04
   287   0.538140       0.501269E-04
   288   0.537609       0.502519E-04
   289   0.537079       0.503767E-04
   290   0.536549       0.505012E-04
   291   0.536020       0.506253E-04
   292   0.535492       0.507492E-04
   293   0.534964       0.508728E-04
   294   0.534436       0.509960E-04
   295   0.533909       0.511190E-04
   296   0.533383       0.512417E-04
   297   0.532857       0.513641E-04
   298   0.532331       0.514862E-04
   299   0.531806       0.516080E-04
   300   0.531282       0.517296E-04
   301   0.530758       0.518508E-04
   302   0.530234       0.519718E-04
   303   0.529711       0.520924E-04
   304   0.529189       0.522128E-04
   305   0.528667       0.523329E-04
   306   0.528146       0.524527E-04
   307   0.527625       0.525722E-04
   308   0.527105       0.526914E-04
   309   0.526585       0.528104E-04
   310   0.526066       0.529290E-04
   311   0.525547       0.530474E-04
   312   0.525029       0.531655E-04
   313   0.524511       0.532833E-04
   314   0.523994       0.534008E-04
   315   0.523477       0.535180E-04
   316   0.522961       0.536349E-04
   317   0.522445       0.537516E-04
   318   0.521930       0.538680E-04
   319   0.521415       0.539841E-04
   320   0.520901       0.540999E-04
   321   0.520387       0.542154E-04
   322   0.519874       0.543307E-04
   323   0.519361       0.544457E-04
   324   0.518849       0.545604E-04
   325   0.518337       0.546748E-04
   326   0.517826       0.547889E-04
   327   0.517316       0.549028E-04
   328   0.516805       0.550164E-04
   329   0.516296       0.551297E-04
   330   0.515787       0.552427E-04
   331   0.515278       0.553554E-04
   332   0.514770       0.554679E-04
   333   0.514262       0.555801E-04
   334   0.513755       0.556920E-04
   335   0.513248       0.558037E-04
   336   0.512742       0.559151E-04
   337   0.512237       0.560262E-04
   338   0.511732       0.561370E-04
   339   0.511227       0.562475E-04
   340   0.510723       0.563578E-04
   341   0.510219       0.564678E-04
   342   0.509716       0.565776E-04
   343   0.509213       0.566870E-04
   344   0.508711       0.567962E-04
   345   0.508209       0.569051E-04
   346   0.507708       0.570138E-04
   347   0.507208       0.571222E-04
   348   0.506707       0.572303E-04
   349   0.506208       0.573381E-04
   350   0.505709       0.574457E-04
