Iter     SteadyRMS     UnsteadyRMS
     1   0.713581       0.115879E-06
     2   0.712877       0.231530E-06
     3   0.712174       0.346952E-06
     4   0.711471       0.462147E-06
     5   0.710769       0.577113E-06
     6   0.710068       0.691853E-06
     7   0.709367       0.806365E-06
     8   0.708667       0.920651E-06
     9   0.707968       0.103471E-05
    10   0.707270       0.114854E-05
    11   0.706572       0.126215E-05
    12   0.705875       0.137554E-05
    13   0.705178       0.148869E-05
    14   0.704482       0.160163E-05
    15   0.703787       0.171434E-05
    16   0.703093       0.182682E-05
    17   0.702399       0.193908E-05
    18   0.701706       0.205112E-05
    19   0.701014       0.216293E-05
    20   0.700322       0.227453E-05
    21   0.699631       0.238590E-05
    22   0.698941       0.249705E-05
    23   0.698251       0.260797E-05
    24   0.697562       0.271868E-05
    25   0.696874       0.282916E-05
    26   0.696187       0.293943E-05
    27   0.695500       0.304947E-05
    28   0.694814       0.315929E-05
    29   0.694128       0.326890E-05
    30   0.693443       0.337828E-05
    31   0.692759       0.348745E-05
    32   0.692076       0.359639E-05
    33   0.691393       0.370512E-05
    34   0.690711       0.381363E-05
    35   0.690029       0.392192E-05
    36   0.689348       0.403000E-05
    37   0.688668       0.413786E-05
    38   0.687989       0.424550E-05
    39   0.687310       0.435292E-05
    40   0.686632       0.446013E-05
    41   0.685954       0.456713E-05
    42   0.685278       0.467390E-05
    43   0.684601       0.478047E-05
    44   0.683926       0.488681E-05
    45   0.683251       0.499295E-05
    46   0.682577       0.509887E-05
    47   0.681904       0.520457E-05
    48   0.681231       0.531006E-05
    49   0.680559       0.541534E-05
    50   0.679887       0.552041E-05
    51   0.679216       0.562526E-05
    52   0.678546       0.572990E-05
    53   0.677877       0.583433E-05
    54   0.677208       0.593855E-05
    55   0.676540       0.604255E-05
    56   0.675872       0.614635E-05
    57   0.675205       0.624993E-05
    58   0.674539       0.635331E-05
    59   0.673874       0.645647E-05
    60   0.673209       0.655943E-05
    61   0.672545       0.666217E-05
    62   0.671881       0.676471E-05
    63   0.671218       0.686703E-05
    64   0.670556       0.696915E-05
    65   0.669894       0.707106E-05
    66   0.669233       0.717276E-05
    67   0.668573       0.727426E-05
    68   0.667914       0.737554E-05
    69   0.667255       0.747663E-05
    70   0.666596       0.757750E-05
    71   0.665938       0.767817E-05
    72   0.665281       0.777863E-05
    73   0.664625       0.787888E-05
    74   0.663969       0.797893E-05
    75   0.663314       0.807878E-05
    76   0.662660       0.817842E-05
    77   0.662006       0.827786E-05
    78   0.661353       0.837709E-05
    79   0.660700       0.847612E-05
    80   0.660048       0.857494E-05
    81   0.659397       0.867356E-05
    82   0.658747       0.877198E-05
    83   0.658097       0.887020E-05
    84   0.657447       0.896821E-05
    85   0.656799       0.906602E-05
    86   0.656151       0.916363E-05
    87   0.655503       0.926104E-05
    88   0.654857       0.935825E-05
    89   0.654210       0.945525E-05
    90   0.653565       0.955206E-05
    91   0.652920       0.964867E-05
    92   0.652276       0.974507E-05
    93   0.651632       0.984128E-05
    94   0.650989       0.993728E-05
    95   0.650347       0.100331E-04
    96   0.649706       0.101287E-04
    97   0.649065       0.102241E-04
    98   0.648424       0.103193E-04
    99   0.647784       0.104143E-04
   100   0.647145       0.105092E-04
   101   0.646507       0.106038E-04
   102   0.645869       0.106982E-04
   103   0.645232       0.107924E-04
   104   0.644595       0.108865E-04
   105   0.643959       0.109803E-04
   106   0.643324       0.110739E-04
   107   0.642689       0.111674E-04
   108   0.642055       0.112606E-04
   109   0.641421       0.113537E-04
   110   0.640789       0.114465E-04
   111   0.640156       0.115392E-04
   112   0.639525       0.116317E-04
   113   0.638894       0.117239E-04
   114   0.638263       0.118160E-04
   115   0.637634       0.119079E-04
   116   0.637005       0.119996E-04
   117   0.636376       0.120911E-04
   118   0.635748       0.121824E-04
   119   0.635121       0.122735E-04
   120   0.634494       0.123645E-04
   121   0.633868       0.124552E-04
   122   0.633243       0.125458E-04
   123   0.632618       0.126361E-04
   124   0.631994       0.127263E-04
   125   0.631370       0.128163E-04
   126   0.630747       0.129060E-04
   127   0.630125       0.129956E-04
   128   0.629503       0.130850E-04
   129   0.628882       0.131743E-04
   130   0.628262       0.132633E-04
   131   0.627642       0.133521E-04
   132   0.627023       0.134408E-04
   133   0.626404       0.135292E-04
   134   0.625786       0.136175E-04
   135   0.625169       0.137056E-04
   136   0.624552       0.137935E-04
   137   0.623936       0.138812E-04
   138   0.623320       0.139688E-04
   139   0.622705       0.140561E-04
   140   0.622091       0.141433E-04
   141   0.621477       0.142302E-04
   142   0.620864       0.143170E-04
   143   0.620251       0.144036E-04
   144   0.619639       0.144900E-04
   145   0.619028       0.145763E-04
   146   0.618417       0.146623E-04
   147   0.617807       0.147482E-04
   148   0.617197       0.148338E-04
   149   0.616588       0.149193E-04
   150   0.615980       0.150046E-04
   151   0.615372       0.150898E-04
   152   0.614765       0.151747E-04
   153   0.614159       0.152595E-04
   154   0.613553       0.153441E-04
   155   0.612947       0.154285E-04
   156   0.612343       0.155127E-04
   157   0.611738       0.155967E-04
   158   0.611135       0.156806E-04
   159   0.610532       0.157643E-04
   160   0.609930       0.158478E-04
   161   0.609328       0.159311E-04
   162   0.608727       0.160142E-04
   163   0.608126       0.160972E-04
   164   0.607526       0.161799E-04
   165   0.606927       0.162625E-04
   166   0.606328       0.163450E-04
   167   0.605730       0.164272E-04
   168   0.605132       0.165093E-04
   169   0.604535       0.165912E-04
   170   0.603938       0.166729E-04
   171   0.603343       0.167544E-04
   172   0.602747       0.168357E-04
   173   0.602153       0.169169E-04
   174   0.601558       0.169979E-04
   175   0.600965       0.170787E-04
   176   0.600372       0.171594E-04
   177   0.599780       0.172399E-04
   178   0.599188       0.173202E-04
   179   0.598597       0.174003E-04
   180   0.598006       0.174802E-04
   181   0.597416       0.175600E-04
   182   0.596827       0.176396E-04
   183   0.596238       0.177190E-04
   184   0.595650       0.177983E-04
   185   0.595062       0.178773E-04
   186   0.594475       0.179562E-04
   187   0.593888       0.180350E-04
   188   0.593302       0.181135E-04
   189   0.592717       0.181919E-04
   190   0.592132       0.182701E-04
   191   0.591548       0.183482E-04
   192   0.590964       0.184260E-04
   193   0.590381       0.185037E-04
   194   0.589799       0.185812E-04
   195   0.589217       0.186586E-04
   196   0.588635       0.187358E-04
   197   0.588055       0.188128E-04
   198   0.587474       0.188896E-04
   199   0.586895       0.189663E-04
   200   0.586316       0.190428E-04
   201   0.585737       0.191191E-04
   202   0.585159       0.191953E-04
   203   0.584582       0.192713E-04
   204   0.584005       0.193471E-04
   205   0.583429       0.194228E-04
   206   0.582853       0.194983E-04
   207   0.582278       0.195736E-04
   208   0.581704       0.196488E-04
   209   0.581130       0.197237E-04
   210   0.580557       0.197986E-04
   211   0.579984       0.198732E-04
   212   0.579412       0.199477E-04
   213   0.578840       0.200220E-04
   214   0.578269       0.200962E-04
   215   0.577698       0.201702E-04
   216   0.577128       0.202440E-04
   217   0.576559       0.203177E-04
   218   0.575990       0.203911E-04
   219   0.575422       0.204645E-04
   220   0.574854       0.205376E-04
   221   0.574287       0.206106E-04
   222   0.573720       0.206835E-04
   223   0.573154       0.207561E-04
   224   0.572589       0.208287E-04
   225   0.572024       0.209010E-04
   226   0.571459       0.209732E-04
   227   0.570895       0.210452E-04
   228   0.570332       0.211171E-04
   229   0.569770       0.211887E-04
   230   0.569207       0.212603E-04
   231   0.568646       0.213317E-04
   232   0.568085       0.214029E-04
   233   0.567524       0.214739E-04
   234   0.566964       0.215448E-04
   235   0.566405       0.216155E-04
   236   0.565846       0.216861E-04
   237   0.565288       0.217565E-04
   238   0.564730       0.218267E-04
