Iter     SteadyRMS     UnsteadyRMS
     1   0.713582       0.578757E-06
     2   0.712878       0.115637E-05
     3   0.712176       0.173285E-05
     4   0.711474       0.230819E-05
     5   0.710772       0.288239E-05
     6   0.710072       0.345545E-05
     7   0.709372       0.402739E-05
     8   0.708673       0.459819E-05
     9   0.707974       0.516786E-05
    10   0.707276       0.573641E-05
    11   0.706579       0.630383E-05
    12   0.705883       0.687012E-05
    13   0.705187       0.743529E-05
    14   0.704492       0.799934E-05
    15   0.703798       0.856227E-05
    16   0.703104       0.912409E-05
    17   0.702411       0.968478E-05
    18   0.701719       0.102444E-04
    19   0.701027       0.108028E-04
    20   0.700336       0.113602E-04
    21   0.699646       0.119164E-04
    22   0.698956       0.124716E-04
    23   0.698267       0.130256E-04
    24   0.697579       0.135785E-04
    25   0.696891       0.141304E-04
    26   0.696204       0.146811E-04
    27   0.695518       0.152307E-04
    28   0.694833       0.157792E-04
    29   0.694148       0.163267E-04
    30   0.693463       0.168730E-04
    31   0.692780       0.174182E-04
    32   0.692097       0.179624E-04
    33   0.691415       0.185054E-04
    34   0.690733       0.190474E-04
    35   0.690053       0.195883E-04
    36   0.689372       0.201281E-04
    37   0.688693       0.206668E-04
    38   0.688014       0.212044E-04
    39   0.687336       0.217410E-04
    40   0.686658       0.222765E-04
    41   0.685982       0.228109E-04
    42   0.685306       0.233442E-04
    43   0.684630       0.238764E-04
    44   0.683955       0.244076E-04
    45   0.683281       0.249377E-04
    46   0.682608       0.254667E-04
    47   0.681935       0.259947E-04
    48   0.681263       0.265216E-04
    49   0.680591       0.270475E-04
    50   0.679920       0.275722E-04
    51   0.679250       0.280959E-04
    52   0.678581       0.286186E-04
    53   0.677912       0.291402E-04
    54   0.677244       0.296607E-04
    55   0.676576       0.301802E-04
    56   0.675909       0.306986E-04
    57   0.675243       0.312160E-04
    58   0.674577       0.317323E-04
    59   0.673912       0.322476E-04
    60   0.673248       0.327619E-04
    61   0.672585       0.332750E-04
    62   0.671922       0.337872E-04
    63   0.671259       0.342983E-04
    64   0.670598       0.348084E-04
    65   0.669937       0.353174E-04
    66   0.669276       0.358254E-04
    67   0.668617       0.363323E-04
    68   0.667958       0.368382E-04
    69   0.667299       0.373431E-04
    70   0.666642       0.378469E-04
    71   0.665985       0.383498E-04
    72   0.665328       0.388515E-04
    73   0.664672       0.393523E-04
    74   0.664017       0.398520E-04
    75   0.663363       0.403508E-04
    76   0.662709       0.408485E-04
    77   0.662056       0.413451E-04
    78   0.661403       0.418408E-04
    79   0.660751       0.423354E-04
    80   0.660100       0.428290E-04
    81   0.659449       0.433216E-04
    82   0.658799       0.438132E-04
    83   0.658150       0.443038E-04
    84   0.657501       0.447934E-04
    85   0.656853       0.452819E-04
    86   0.656206       0.457695E-04
    87   0.655559       0.462560E-04
    88   0.654913       0.467416E-04
    89   0.654267       0.472261E-04
    90   0.653622       0.477096E-04
    91   0.652978       0.481922E-04
    92   0.652334       0.486737E-04
    93   0.651691       0.491543E-04
    94   0.651049       0.496338E-04
    95   0.650407       0.501124E-04
    96   0.649766       0.505899E-04
    97   0.649126       0.510665E-04
    98   0.648486       0.515421E-04
    99   0.647847       0.520167E-04
   100   0.647208       0.524903E-04
   101   0.646570       0.529629E-04
   102   0.645933       0.534346E-04
   103   0.645296       0.539052E-04
   104   0.644660       0.543749E-04
   105   0.644025       0.548436E-04
   106   0.643390       0.553113E-04
   107   0.642756       0.557781E-04
   108   0.642122       0.562439E-04
   109   0.641489       0.567087E-04
   110   0.640857       0.571725E-04
   111   0.640226       0.576354E-04
   112   0.639594       0.580973E-04
   113   0.638964       0.585582E-04
   114   0.638334       0.590181E-04
   115   0.637705       0.594771E-04
   116   0.637076       0.599352E-04
   117   0.636449       0.603923E-04
   118   0.635821       0.608484E-04
   119   0.635195       0.613035E-04
   120   0.634568       0.617577E-04
   121   0.633943       0.622110E-04
   122   0.633318       0.626633E-04
   123   0.632694       0.631146E-04
   124   0.632070       0.635650E-04
   125   0.631447       0.640144E-04
   126   0.630825       0.644629E-04
   127   0.630203       0.649104E-04
   128   0.629582       0.653570E-04
   129   0.628961       0.658027E-04
